employee_id,hire_date,dob,age_at_eligibility,computed_eligibility_date,first_deferral_date,drift_days,issue_type,recommended_fix,issue_category,severity,correction_hint,run_id,plan_name,plan_year
E001,2020-06-01T00:00:00,1970-02-10T00:00:00,50,2020-11-28,2024-01-15,1143.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E002,2021-01-10T00:00:00,2000-03-05T00:00:00,21,2021-07-09,2024-01-15,920.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E003,2022-02-01T00:00:00,1995-01-15T00:00:00,27,2022-07-31,2024-02-15,564.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E004,2018-04-10T00:00:00,1968-05-20T00:00:00,50,2018-10-07,2024-01-15,1926.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E005,2017-03-15T00:00:00,1979-10-02T00:00:00,37,2017-09-11,2024-01-15,2317.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E006,2015-09-01T00:00:00,1982-11-12T00:00:00,33,2016-02-28,2024-01-15,2878.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E007,2020-01-01T00:00:00,2003-03-01T00:00:00,17,2020-06-29,,,No contributions after eligibility,Review participant for missed eligibility; consider correction under plan rules and EPCRS.,Eligibility,High,Review participant enrollment and eligibility tracking. Confirm whether participant should have been enrolled and make participants whole for missed deferrals and match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E008,2019-10-10T00:00:00,1970-09-09T00:00:00,49,2020-04-07,2024-01-15,1378.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E009,2010-06-20T00:00:00,1965-07-07T00:00:00,45,2010-12-17,2024-01-15,4777.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
E010,2023-01-05T00:00:00,1999-01-01T00:00:00,24,2023-07-04,2024-01-15,195.0,Late start after eligibility,Review delayed start against plan provisions; consider eligibility correction if required.,Eligibility,High,Confirm eligibility tracking and enrollment processes. Make participants whole for missed deferrals and employer match where appropriate under plan provisions and EPCRS correction procedures.,58df440f-c0fa-499e-bb2e-0faa53a3740e,Demo Plan,2024
