employee_id,first_name,last_name,pay_date,pay_period_number,Employee Class,department,location,Regular Compensation,Overtime,Bonus,Fringe,Reimbursement,Gross Compensation,Compensation,Plan Compensation,EE Deferral $,EE Roth $,ER Match $,True-Up Enabled,loan_amount,is_hce,catchup_pretax,catchup_roth,age,dob,hire_date,rehire_date,employment_status,termination_date
E100001,Demo,Participant001,2025-01-03,1,Part-Time,Operations,Austin,2506.77,0.00,0.00,0.00,0.00,2506.77,2506.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100001,Demo,Participant001,2025-01-17,2,Part-Time,Operations,Austin,2506.77,0.00,0.00,35.00,0.00,2541.77,2541.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100001,Demo,Participant001,2025-01-31,3,Part-Time,Operations,Austin,2506.77,0.00,0.00,0.00,45.00,2551.77,2551.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100001,Demo,Participant001,2025-02-14,4,Part-Time,Operations,Austin,2506.77,0.00,0.00,0.00,0.00,2506.77,2506.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100001,Demo,Participant001,2025-02-28,5,Part-Time,Operations,Austin,2506.77,0.00,0.00,0.00,0.00,2506.77,2506.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100001,Demo,Participant001,2025-03-14,6,Part-Time,Operations,Austin,2506.77,0.00,0.00,0.00,0.00,2506.77,2506.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100001,Demo,Participant001,2025-03-28,7,Part-Time,Operations,Austin,2506.77,0.00,0.00,0.00,0.00,2506.77,2506.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100001,Demo,Participant001,2025-04-11,8,Part-Time,Operations,Austin,2506.77,0.00,0.00,0.00,0.00,2506.77,2506.77,2506.77,94.00,31.33,62.67,false,0.00,false,0.00,0.00,32,1993-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-01-03,1,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-01-17,2,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-01-31,3,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-02-14,4,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-02-28,5,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-03-14,6,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-03-28,7,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100002,Demo,Participant002,2025-04-11,8,Full-Time,Finance,Charlotte,2584.35,0.00,0.00,0.00,0.00,2584.35,2584.35,2584.35,129.22,0.00,64.61,false,0.00,false,0.00,0.00,33,1992-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-01-03,1,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-01-17,2,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-01-31,3,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-02-14,4,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-02-28,5,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-03-14,6,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-03-28,7,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100003,Demo,Participant003,2025-04-11,8,Full-Time,Sales,Chicago,2652.81,0.00,0.00,0.00,0.00,2652.81,2652.81,2652.81,132.64,0.00,66.32,false,85.00,false,0.00,0.00,34,1991-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-01-03,1,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-01-17,2,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-01-31,3,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-02-14,4,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-02-28,5,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-03-14,6,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-03-28,7,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100004,Demo,Participant004,2025-04-11,8,Full-Time,Engineering,Denver,2723.69,0.00,0.00,0.00,0.00,2723.69,2723.69,2723.69,102.14,34.05,68.09,false,0.00,false,0.00,0.00,35,1990-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-01-03,1,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-01-17,2,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-01-31,3,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-02-14,4,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-02-28,5,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-03-14,6,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-03-28,7,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100005,Demo,Participant005,2025-04-11,8,Full-Time,Clinical,Phoenix,2788.19,0.00,0.00,0.00,0.00,2788.19,2788.19,2788.19,139.41,0.00,69.70,false,0.00,false,0.00,0.00,36,1989-06-15,2024-01-03,,Active,
E100006,Demo,Participant006,2025-01-03,1,Part-Time,Logistics,Raleigh,2866.42,0.00,0.00,0.00,0.00,2866.42,2866.42,2866.42,143.32,0.00,71.66,false,0.00,false,0.00,0.00,37,1988-06-15,2024-01-03,,Active,
E100006,Demo,Participant006,2025-01-17,2,Part-Time,Logistics,Raleigh,2866.42,0.00,0.00,0.00,0.00,2866.42,2866.42,2866.42,143.32,0.00,71.66,false,0.00,false,0.00,0.00,37,1988-06-15,2024-01-03,,Active,
E100006,Demo,Participant006,2025-01-31,3,Part-Time,Logistics,Raleigh,2866.42,0.00,0.00,0.00,0.00,2866.42,2866.42,2866.42,143.32,0.00,71.66,false,0.00,false,0.00,0.00,37,1988-06-15,2024-01-03,,Active,
E100006,Demo,Participant006,2025-02-14,4,Part-Time,Logistics,Raleigh,2866.42,0.00,0.00,0.00,0.00,2866.42,2866.42,2866.42,143.32,0.00,71.66,false,0.00,false,0.00,0.00,37,1988-06-15,2024-01-03,,Active,
E100006,Demo,Participant006,2025-02-28,5,Part-Time,Logistics,Raleigh,2866.42,0.00,0.00,0.00,0.00,2866.42,2866.42,2866.42,143.32,0.00,71.66,false,0.00,false,0.00,0.00,37,1988-06-15,2024-01-03,,Active,
E100006,Demo,Participant006,2025-03-14,6,Part-Time,Logistics,Raleigh,2866.42,0.00,0.00,0.00,0.00,2866.42,2866.42,2866.42,143.32,0.00,71.66,false,0.00,false,0.00,0.00,37,1988-06-15,2024-01-03,,Active,
