employee_id,first_name,last_name,pay_date,pay_period_number,Employee Class,department,location,Regular Compensation,Overtime,Bonus,Fringe,Reimbursement,Gross Compensation,Compensation,Plan Compensation,EE Deferral $,EE Roth $,ER Match $,True-Up Enabled,loan_amount,is_hce,catchup_pretax,catchup_roth,age,dob,hire_date,rehire_date,employment_status,termination_date
E100001,Alex,Adams,2025-01-03,1,Part-Time,Operations,Austin,1367.08,0.00,0.00,0.00,0.00,1367.08,1367.08,1367.08,0.00,0.00,0.00,true,0.00,false,0.00,0.00,45,1979-11-26,2018-09-06,2025-11-13,Active,
E100001,Alex,Adams,2025-01-17,2,Part-Time,Operations,Austin,1367.08,0.00,0.00,29.68,0.00,1396.76,1396.76,1367.08,0.00,0.00,0.00,true,0.00,false,0.00,0.00,45,1979-11-26,2018-09-06,2025-11-13,Active,
E100001,Alex,Adams,2025-01-31,3,Part-Time,Operations,Austin,1367.08,0.00,0.00,0.00,0.00,1367.08,1367.08,1367.08,0.00,0.00,0.00,true,0.00,false,0.00,0.00,45,1979-11-26,2018-09-06,2025-11-13,Active,
E100001,Alex,Adams,2025-02-14,4,Part-Time,Operations,Austin,1367.08,0.00,0.00,0.00,0.00,1367.08,1367.08,1367.08,0.00,0.00,0.00,true,0.00,false,0.00,0.00,45,1979-11-26,2018-09-06,2025-11-13,Active,
E100002,Jordan,Hughes,2025-01-03,1,Full-Time,Logistics,Denver,3351.88,0.00,0.00,37.28,0.00,3389.16,3389.16,3351.88,134.08,0.00,67.04,false,0.00,false,0.00,0.00,29,1995-03-27,2014-12-21,,Active,
E100002,Jordan,Hughes,2025-01-17,2,Full-Time,Logistics,Denver,3351.88,323.81,0.00,7.78,0.00,3683.47,3683.47,3675.69,147.03,0.00,73.51,false,0.00,false,0.00,0.00,29,1995-03-27,2014-12-21,,Active,
E100002,Jordan,Hughes,2025-01-31,3,Full-Time,Logistics,Denver,3351.88,0.00,0.00,0.00,0.00,3351.88,3351.88,3351.88,134.08,0.00,67.04,false,0.00,false,0.00,0.00,29,1995-03-27,2014-12-21,,Active,
E100002,Jordan,Hughes,2025-02-14,4,Full-Time,Logistics,Denver,3351.88,0.00,0.00,0.00,0.00,3351.88,3351.88,3351.88,134.08,0.00,67.04,false,0.00,false,0.00,0.00,29,1995-03-27,2014-12-21,,Active,
E100003,Taylor,Ortiz,2025-01-03,1,Full-Time,Sales,Remote,4772.45,0.00,0.00,0.00,0.00,4772.45,4772.45,4772.45,190.90,0.00,95.45,false,0.00,false,0.00,0.00,56,1968-03-26,2024-03-02,,Active,
E100003,Taylor,Ortiz,2025-01-17,2,Full-Time,Sales,Remote,4772.45,427.75,0.00,10.11,0.00,5210.31,5210.31,5200.20,208.01,0.00,104.00,false,0.00,false,0.00,0.00,56,1968-03-26,2024-03-02,,Active,
E100003,Taylor,Ortiz,2025-01-31,3,Full-Time,Sales,Remote,4772.45,0.00,0.00,0.00,0.00,4772.45,4772.45,4772.45,190.90,0.00,95.45,false,0.00,false,0.00,0.00,56,1968-03-26,2024-03-02,,Active,
E100003,Taylor,Ortiz,2025-02-14,4,Full-Time,Sales,Remote,4772.45,0.00,0.00,0.00,0.00,4772.45,4772.45,4772.45,190.90,0.00,95.45,false,0.00,false,0.00,0.00,56,1968-03-26,2024-03-02,,Active,
E100004,Morgan,Bennett,2025-01-03,1,Full-Time,HR,Charlotte,5549.55,0.00,0.00,0.00,0.00,5549.55,5549.55,5549.55,277.48,0.00,138.74,false,0.00,false,0.00,0.00,60,1964-09-19,2013-10-06,,Active,
